pl_name,st_rad,pl_rade,pl_orbsmax
"Kepler-37 c",0.770000,0.74200000,0.1368000000
"Kepler-37 b",0.770000,0.30300000,0.1003000000
"Kepler-37 d",0.770000,1.99000000,0.2076000000
"HAT-P-1 b",1.112000,13.64135300,0.0553500000
"WASP-71 b",2.260000,16.37000000,0.0461900000
"55 Cnc e",0.963515,2.17300000,0.0158300000
"PH2 b",1.000000,10.12000000,0.8280000000
"CoRoT-2 b",0.906000,16.43200000,0.0279800000
"TrES-4 b",1.920000,20.28829000,0.0496500000
"HD 149026 b",1.290000,6.83749000,0.0428800000
"HAT-P-27 b",0.864673,11.43000000,0.0400000000
"HD 97658 b",0.703000,2.34100000,0.0796000000
"HD 189733 b",0.752000,12.90155900,0.0314200000
"HD 209458 b",1.162000,15.46842000,0.0474700000
"KOI-94 d",1.520000,11.27000000,0.1684000000
"WASP-18 b",1.222000,12.98002200,0.0203400000
"WASP-52 b",0.790000,14.24000000,0.0272000000
"KOI-94 c",1.520000,4.32000000,0.1013000000
"KOI-94 e",1.520000,6.56000000,0.3046000000
"Kepler-10 b",1.065000,1.47000000,0.0168500000
"KOI-94 b",1.520000,1.71000000,0.0511900000
"Kepler-167 c",0.696000,1.37000000,0.0680000000
"Kepler-167 b",0.696000,1.45000000,0.0480000000
"WASP-103 b",1.436000,17.12700000,0.0198500000
"Kepler-51 b",0.940000,7.10000000,0.2514000000
"Kepler-51 d",0.940000,9.70000000,0.5090000000
"Kepler-51 c",0.940000,9.00000000,0.3840000000
"WASP-33 b",1.444000,16.78000000,0.0255500000
"HAT-P-27 b",0.898000,11.63490000,0.0403000000
"Kepler-10 b",1.065000,1.46000000,0.0168700000
"Kepler-10 c",1.065000,2.32000000,0.2413000000
"WASP-96 b",1.050000,13.45000000,0.0453000000
"Kepler-10 b",1.065000,1.48070890,0.0172000000
"GJ 3470 b",0.480000,3.88000000,0.0310000000
"HD 149026 b",1.450000,8.12700000,0.0420000000
"HD 209458 b",1.150000,15.92000000,0.0460000000
"HD 189733 b",0.760000,14.12000000,0.0313000000
"WASP-6 b",0.870000,13.72000000,0.0421000000
"WASP-17 b",1.380000,19.50000000,0.0510000000
"HAT-P-11 b",0.750000,4.73000000,0.0530000000
"HAT-P-12 b",0.701000,10.74900000,0.0384000000
